subject,avg_ld_eng,anagrams_eng,ml_migrations_eng,el_migrations_eng,avg_ld_ben,anagrams_ben,ml_migrations_ben,el_migrations_ben
5.3,0.383,4,3,1,0.616,5,1,4
5.11,0.516,8,7,1,0.283,2,1,1
5.15,0.333,7,5,2,0.283,0,0,0
4.12,0.233,6,5,1,0.55,2,0,2
4.13,0.4,8,8,0,0.483,3,0,3
4.7,0.283,8,7,1,0.283,1,0,1
3.53,0.333,7,5,2,0.183,1,0,1
3.55,0.233,7,6,1,0.266,2,0,2
