subject,avg_ld_eng,anagrams_eng,ml_migrations_eng,el_migrations_eng,avg_ld_ben,anagrams_ben,ml_migrations_ben,el_migrations_ben
3.51,0.783,21,19,2,0.35,4,1,3
3.52,0.683,13,11,2,0.933,6,0,6
3.53,0.33,7,5,2,0.1833,1,0,1
3.54,0.366,11,9,2,0.1166,1,0,1
3.55,0.233,7,6,1,0.266,2,0,2
3.7,0.633,16,14,2,0.466,0,0,0
3.9,1.33,20,18,2,1.4,0,0,0
5.19,0.916,18,17,1,0.45,2,0,2
4.15,0.733,12,10,2,0.35,2,0,2
5.11,0.516,8,7,1,0.283,2,1,1
4.5,0.6,17,14,3,0.216,2,0,2
5.15,0.33,7,5,2,0.283,0,0,0
